rank,make,model_gen,generation,segment,score,weight_coverage,stock,rarity_tier,rarity,conservation,sorn_ratio,recent_inflection_point,relative_attrition,inflection_year,latest_year,components_available
48,RENAULT,TWINGO RS,MK2,GTI,0.6200691248253296,1.0,708,>=500,0.39202788190857374,0.9516129032258064,0.22478070175438597,1.0,-0.07347545108738371,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
49,BMW,8 SERIES,E31,COUPE,0.617400956748587,1.0,772,>=500,0.3840104140589426,0.5524193548387096,0.7244623655913979,1.0,-0.010582055348736907,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
50,OPEL,VX220,VX220,ROADSTER,0.6159840597090334,1.0,655,>=500,0.3992364181741308,0.5483870967741935,0.6957726957726957,1.0,-0.010570483828618873,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
51,AUDI,S3,8L,GTI,0.6148031696975347,1.0,1074,>=500,0.35342295114881805,0.6491935483870968,0.6440337484933708,1.0,-0.02000837939046036,2022,2026,rarity|conservation|sorn_ratio|recent_inflection_point
52,HONDA,PRELUDE,BB,COUPE,0.6130527669329652,1.0,1039,>=500,0.3564923711092003,0.5887096774193549,0.7055150884495317,1.0,-0.01569503454238591,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
53,LEXUS,IS-F,XE20,SPORTIVE,0.6103407312733513,1.0,239,<500,0.49263763656015513,0.7620967741935484,0.23696682464454977,1.0,-0.03305770278994343,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
54,BMW,Z4 M,E85_86,ROADSTER,0.6021687271310532,1.0,458,<500,0.4323813533566629,0.5604838709677419,0.5535714285714286,1.0,-0.012795151806230538,2024,2026,rarity|conservation|sorn_ratio|recent_inflection_point
55,VOLKSWAGEN,POLO GTI,9N,GTI,0.5879691459286969,1.0,636,>=500,0.4019635539408234,0.6774193548387096,0.3896353166986564,1.0,-0.02288850711512043,2022,2025,rarity|conservation|sorn_ratio|recent_inflection_point
56,RENAULT,CLIO RS,MK3,GTI,0.5877195555785704,1.0,2575,>=500,0.2724093821293651,0.842741935483871,0.40845393981162414,1.0,-0.04273181396764679,2024,2025,rarity|conservation|sorn_ratio|recent_inflection_point
57,FERRARI,599,599,SUPERCAR,0.5844912262211054,1.0,354,<500,0.4562439199421921,0.46774193548387094,0.5393518518518519,1.0,-0.004591065688646714,2021,2026,rarity|conservation|sorn_ratio|recent_inflection_point
58,SUBARU,IMPREZA WRX,GC8,SPORTIVE,0.5827909484785758,1.0,1565,>=500,0.3185428115733478,0.4475806451612903,0.7970290156879078,1.0,-0.003920314888976886,2025,2026,rarity|conservation|sorn_ratio|recent_inflection_point
59,OPEL,MONARO,V2,SPORTIVE,0.5826489702961704,1.0,605,>=500,0.4065929923531566,0.5725806451612903,0.48598130841121495,1.0,-0.01367370205288728,2025,2025,rarity|conservation|sorn_ratio|recent_inflection_point
